id,nama_lapangan,jenis_olahraga,lokasi,harga_per_jam,fasilitas,rating,jumlah_ulasan
35,GOR Badminton Sunter,Bulutangkis,Jakarta Utara,70000,"Parkir, Toilet, Kantin",0,0
36,Versus / Yolo Badminton Court (Kamal),Bulutangkis,Jakarta Barat,85000,"Parkir, Toilet",0,0
37,Lapangan Bulutangkis Talenta,Bulutangkis,Jakarta Utara,50000,"Parkir, Toilet",0,0
38,GOR Daniel Sport (Jakarta Timur),Bulutangkis,Jakarta Timur,45000,"Parkir, Toilet, Musholla",0,0
39,GOR Kurnia Badminton Court,Bulutangkis,Jakarta Timur,60000,"Parkir, Toilet",0,0
40,GOR Vator Pacific,Bulutangkis,Bogor,52500,"Parkir, Tribun, Toilet, Kantin",0,0
41,Hoops Arena Senayan,Basket,Jakarta Pusat,200000,"Parkir, Toilet, AC, Kantin",0,0
42,Elite Hoop Court Kemang,Basket,Jakarta Selatan,180000,"Parkir, Musholla, Locker",0,0
43,Victory Basketball Hall Rawamangun,Basket,Jakarta Timur,175000,"Toilet, Kantin, Tribun",0,0
44,Metro Hoop Center Pluit,Basket,Jakarta Utara,190000,"Parkir, AC, Shower",0,0
45,Jakarta Hoops Gandaria,Basket,Jakarta Selatan,210000,"Parkir, Toilet, Musholla, Kafe",0,0
46,Grand Slam Court Cilandak,Basket,Jakarta Selatan,160000,"Parkir, Locker, Kantin",0,0
47,Sunrise Basketball Hall Pulogadung,Basket,Jakarta Timur,170000,"Tribun, Parkir, Toilet",0,0
48,North Hoop Center Kelapa Gading,Basket,Jakarta Utara,200000,"AC, Parkir, Musholla",0,0
49,South Hoop Court Pondok Indah,Basket,Jakarta Selatan,220000,"Parkir, Toilet, Kafe, Tribun",0,0
50,West Hoop Stadium Meruya,Basket,Jakarta Barat,150000,"Locker, Musholla, Parkir",0,0
51,Central Hoop Court Thamrin,Basket,Jakarta Pusat,230000,"Parkir, Toilet, AC, Lounge",0,0
52,Kompas Hoop Center Palmerah,Basket,Jakarta Barat,140000,"Parkir, Kantin, Toilet",0,0
53,Galaxy Hoop Hall Cipete,Basket,Jakarta Selatan,160000,"Locker, Parkir, Musholla",0,0
54,Platinum Basketball Court Kuningan,Basket,Jakarta Selatan,210000,"Parkir, AC, Kafe, Musholla",0,0
55,Royal Hoop Stadium Sunter,Basket,Jakarta Utara,170000,"Tribun, Kantin, Parkir",0,0
56,Champion Hoops Senopati,Basket,Jakarta Selatan,250000,"Parkir, Toilet, Lounge, Gym",0,0
57,Prima Hoop Court Tebet,Basket,Jakarta Selatan,150000,"Musholla, Parkir, Kantin",0,0
58,Delta Basketball Arena Kalideres,Basket,Jakarta Barat,145000,"Parkir, Toilet, Locker",0,0
59,Cendana Hoop Hall Pasar Rebo,Basket,Jakarta Timur,130000,"Parkir, Musholla, Kantin",0,0
60,Elite Slam Court Tanah Abang,Basket,Jakarta Pusat,240000,"AC, Parkir, Tribun, Toilet",0,0
61,Kick-Off Arena,Futsal,Jakarta Timur,135000,"Papan Skor Digital, Kantin Modern, Loker",0,0
62,The Goal Zone,Futsal,Jakarta Selatan,165000,"Full AC, Wi-Fi Corner, Musholla, Parkir Basement",0,0 
63,Futsal Santuy,Futsal,Jakarta Barat,115000,"Warung Kopi, Toilet, Parkir Motor",0,0
64,Striker's Paradise,Futsal,Jakarta Utara,140000,"Rumput Sintetis Impor, Papan Skor, Tribun Mini",0,0 
65,Nusantara Glory Field,Futsal,Jakarta Pusat,150000,"Musholla Bersih, Kantin, Loker Gratis, Wi-Fi",0,0 
66,Mabar Hub,Futsal,Bekasi,105000,"Parkir Gratis, Kantin 24 Jam",0,0 
67,Elang Perkasa Court,Futsal,Tangerang,130000,"Papan Skor, Toilet Bersih, Kantin Luas",0,0 
68,Galaxy Sport Center,Futsal,Depok,120000,"Parkir Luas, Musholla, Ruang Ganti",0,0 
69,Pantai Indah Futsal,Futsal,Jakarta Utara,175000,"Indoor Premium, AC, Kantin, Parkir Valet",0,0 
70,Urban Soccer Point,Futsal,Tangerang Selatan,110000,"Toilet, Warung Indomie",0,0 
71,Titanium Futsal,Futsal,Bekasi,145000,"3 Lapangan Vinyl, Parkir Luas, Musholla",0,0 
72,Southside Dribblers,Futsal,Jakarta Selatan,160000,"Wi-Fi Cepat, Kantin Sehat, Rumput Kualitas Pro",0,0 
73,Phoenix Arena,Futsal,Jakarta Utara,170000,"AC Dingin, Loker Pribadi, Papan Skor Digital",0,0 
74,Victory Pitch,Futsal,Jakarta Timur,115000,"Parkir Motor Aman, Kantin Jujur",0,0 
75,Delta Futsal Complex,Futsal,Bekasi,125000,"Parkir, Musholla, Ruang Tunggu Nyaman",0,0 
76,Prestige Futsal Kemang,Futsal,Jakarta Selatan,185000,"Indoor VIP, Full AC, Kafe, Parkir Valet",0,0 
77,Keringat Bahagia Field,Futsal,Jakarta Timur,100000,"Kantin Sederhana, Parkir Terbatas",0,0 
78,Matrix Futsal Dome,Futsal,Tangerang,135000,"Papan Skor LED, Kantin, Musholla",0,0 
79,Metro Futsal Point,Futsal,Jakarta Selatan,145000,"Wi-Fi, Kantin, Dekat Stasiun MRT",0,0 
80,Central Kickers,Futsal,Jakarta Pusat,130000,"Parkir Mobil & Motor, Toilet Bersih",0,0
81,Smash House Arena,Bulutangkis,Jakarta Selatan,80000,"Toilet, Parkir, Musholla, Kantin",0,0
82,Net King Badminton Hall,Bulutangkis,Jakarta Timur,60000,"Parkir, Toilet, Lampu LED",0,0
83,PB Satria Mandiri,Bulutangkis,Depok,55000,"Parkir, Musholla, Ruang Ganti",0,0
84,RacketZone Sport Center,Bulutangkis,Jakarta Barat,95000,"AC, Kantin, Toilet, Tribun",0,0
85,ShuttlePoint Badminton,Bulutangkis,Bogor,70000,"Parkir, Toilet, Musholla",0,0
86,Victory Smash Court,Bulutangkis,Tangerang,65000,"Toilet, Kantin, Parkir Luas",0,0
87,Birdie Arena,Bulutangkis,Jakarta Utara,90000,"Parkir, Musholla, Locker",0,0
88,Rama Sport Hall,Bulutangkis,Bekasi,50000,"Parkir, Toilet, Musholla",0,0
89,GOR Mentari,Bulutangkis,Bandung,75000,"Parkir, Toilet, Musholla, Kafe",0,0
90,NetPrime Court,Bulutangkis,Jakarta Selatan,85000,"AC, Parkir, Kantin",0,0
91,PB Champion Center,Bulutangkis,Depok,60000,"Parkir, Toilet, Kantin, Musholla",0,0
92,GOR Arjuna,Bulutangkis,Semarang,70000,"Parkir, Musholla, Toilet",0,0
93,Elite Shuttle Hall,Bulutangkis,Surabaya,95000,"AC, Kantin, Parkir, Ruang Ganti",0,0
94,GOR Sinar Sport,Bulutangkis,Yogyakarta,55000,"Parkir, Toilet, Musholla",0,0
95,Badminton Galaxy Arena,Bulutangkis,Malang,80000,"Parkir, Toilet, Kantin",0,0
96,Rocket Smash Hall,Bulutangkis,Medan,65000,"Toilet, Parkir, Musholla, Tribun",0,0
97,GOR PB Cendekia,Bulutangkis,Tangerang Selatan,70000,"Parkir, Musholla, Toilet, Kantin",0,0
98,Infinity Badminton Hall,Bulutangkis,Jakarta Barat,100000,"Full AC, Parkir, Kantin",0,0
99,GOR Wijaya Kusuma,Bulutangkis,Depok,50000,"Toilet, Parkir, Musholla",0,0
100,Grand Shuttle Arena,Bulutangkis,Jakarta Pusat,120000,"AC, Toilet, Lounge, Parkir",0,0
